data,Precipitação,Temperatura
2016-08-04,0.0,8.466454545454546
2016-08-05,0.0,7.845520833333333
2016-08-06,0.0,7.773729166666667
2016-08-07,0.0,7.408041666666667
2016-08-08,0.0,7.5778541666666674
2016-08-09,0.0,7.314416666666666
2016-08-10,0.0,7.520520833333333
2016-08-11,1.0,8.036166666666666
2016-08-12,2.8,6.928416666666667
2016-08-13,2.2,6.375145833333334
2016-08-14,0.0,7.676916666666667
2016-08-15,0.0,7.603958333333334
2016-08-16,0.0,7.583708333333333
2016-08-17,0.0,7.744395833333333
2016-08-18,0.0,8.527125
2016-08-19,0.0,7.303354166666666
2016-08-20,0.0,7.972708333333333
2016-08-21,0.0,10.4019375
2016-08-22,0.0,10.123270833333335
2016-08-23,0.0,8.067729166666666
2016-08-24,0.0,8.261604166666666
2016-08-25,0.0,7.5118125000000004
2016-08-26,0.0,6.863062500000001
2016-08-27,0.0,7.989145833333333
2016-08-28,0.0,8.0658125
2016-08-29,0.4,7.7516875
2016-08-30,0.0,8.1005625
2016-08-31,0.0,8.024625
2016-09-01,0.0,7.5417708333333335
2016-09-02,0.0,7.413666666666667
2016-09-03,0.0,6.6902083333333335
2016-09-04,0.0,6.489270833333333
2016-09-05,0.0,7.199750000000001
2016-09-06,0.0,7.8051458333333334
2016-09-07,0.0,8.191729166666667
2016-09-08,0.0,9.004583333333334
2016-09-09,0.0,8.793395833333333
2016-09-10,0.0,9.357041666666666
2016-09-11,0.0,8.007833333333332
2016-09-12,0.0,7.336520833333334
2016-09-13,0.0,7.735125
2016-09-14,0.4,8.166958333333334
2016-09-15,6.6000000000000005,7.87875
2016-09-16,0.2,6.986145833333333
2016-09-17,0.0,8.015083333333333
2016-09-18,0.0,9.213833333333334
2016-09-19,1.0,9.610770833333333
2016-09-20,10.4,6.8770625
2016-09-21,0.0,6.858104166666667
2016-09-22,0.0,8.227166666666667
2016-09-23,1.2,8.845333333333334
2016-09-24,1.0,9.370770833333333
2016-09-25,4.2,6.811958333333333
2016-09-26,5.4,6.444583333333334
2016-09-27,0.0,6.781270833333333
2016-09-28,10.200000000000001,7.27775
2016-09-29,2.0,8.000166666666667
