data,Precipitação,Temperatura
2013-07-05,0.4,7.775344827586206
2013-07-06,0.0,4.662708333333334
2013-07-07,0.0,4.207791666666666
2013-07-08,1.2000000000000002,1.6312499999999999
2013-07-09,0.0,5.500333333333334
2013-07-10,0.0,5.388083333333333
2013-07-11,0.0,5.028333333333333
2013-07-12,0.0,4.276708333333334
2013-07-13,0.0,4.874270833333333
2013-07-14,0.0,4.773208333333334
2013-07-15,2.2,2.811375
2013-07-16,0.0,3.4595416666666665
2013-07-17,0.0,3.9101041666666667
2013-07-18,0.0,4.0246458333333335
2013-07-19,0.0,5.008875
2013-07-20,0.0,4.3065
2013-07-21,0.0,4.74675
2013-07-22,0.0,5.5212916666666665
2013-07-23,0.0,4.7900833333333335
2013-07-24,0.0,5.560666666666666
2013-07-25,0.0,4.7906458333333335
2013-07-26,0.0,4.351125
2013-07-27,0.8,3.68575
2013-07-28,0.0,3.779083333333333
2013-07-29,0.0,4.6663958333333335
2013-07-30,0.0,4.523375
2013-07-31,0.0,4.8706249999999995
2013-08-01,0.0,4.4531875
2013-08-02,0.0,4.307270833333333
2013-08-03,0.0,5.2275
2013-08-04,0.2,4.9843125
2013-08-05,0.0,4.653208333333333
2013-08-06,0.0,5.335020833333334
2013-08-07,0.4,5.750729166666667
2013-08-08,2.2,4.246583333333333
2013-08-09,0.2,4.9850208333333335
2013-08-10,1.2000000000000002,2.5084583333333335
2013-08-11,2.8000000000000003,3.9408958333333337
2013-08-12,0.6000000000000001,5.2863541666666665
2013-08-13,0.0,5.0924375
2013-08-14,0.0,4.449666666666666
2013-08-15,0.4,4.391520833333334
2013-08-16,0.2,6.7251875000000005
2013-08-17,0.0,5.413041666666667
2013-08-18,0.0,5.322500000000001
2013-08-19,0.0,5.1613125
2013-08-20,0.0,5.1651875
2013-08-21,0.0,5.510104166666667
2013-08-22,0.0,5.5036249999999995
2013-08-23,1.6,3.455458333333333
2013-08-24,0.0,4.619270833333333
2013-08-25,0.2,4.328375
