date,z_300.0,z_400.0,z_500.0,q_300.0,q_400.0,q_500.0,crwc_300.0,crwc_400.0,crwc_500.0,t_300.0,t_400.0,t_500.0,u_300.0,u_400.0,u_500.0,v_300.0,v_400.0,v_500.0,u10,v10,d2m,t2m,sp,z,tp,ssrd,strd,sf
1940-01-16,94377.945,73888.56,57135.344,0.0001704803,0.0007204481,0.0028577747,0.0,0.0,0.0,-32.751846,-17.33339,-6.6619873,-8.130705,-2.9540741,1.1223601,-0.679944,-0.28948167,-1.6108829,0.5909747,0.35203046,0.19210815,3.2483215,61667.832,40786.863,0.81797713,4062082.5,3836743.2,0.00020112692
1940-01-17,94293.98,73818.74,57104.387,0.000245281,0.00076126837,0.0027679214,0.0,0.0,0.0,-32.747406,-17.836258,-7.1335144,-8.618228,-3.9419272,1.5851164,-1.1804632,-2.8999074,-1.5301241,0.60686934,0.47406548,-1.0760193,2.094696,61639.934,40786.863,0.53928846,3958518.5,3881170.5,2.312474e-06
1940-01-18,94257.82,73813.68,57116.52,0.00052469556,0.001228123,0.0032411367,0.0,0.0,0.0,-32.83084,-18.606064,-7.116516,-13.074868,-4.766196,-1.115068,-4.4612203,-4.9954467,-0.3863338,0.15165794,0.3699767,-0.14248657,2.9999084,61642.086,40786.863,0.57347584,3551712.8,3809862.2,3.788545e-05
1940-01-19,94401.29,73951.29,57256.875,0.0006037476,0.0013681538,0.0028301578,0.0,0.0,0.0,-32.658188,-18.407578,-7.128174,-12.082566,-5.6401215,-2.2680566,-2.0310657,-3.3334372,-3.587035,-0.35148668,-0.09599149,0.39401245,3.8356018,61744.812,40786.863,0.6201147,3288831.8,4199992.0,0.00013060492
1940-01-20,94504.9,74001.07,57276.926,0.00055225554,0.0013836473,0.003283845,0.0,0.0,0.0,-32.58751,-17.588226,-6.9935913,-13.551003,-5.727869,-0.41399154,-2.8932831,-2.9546573,-1.8064036,0.14100307,0.1886411,0.7565613,4.2867737,61756.258,40786.863,0.5943541,3317267.0,4270945.5,0.000121545716
1940-01-21,94484.836,73971.63,57224.082,0.0005575915,0.0015548822,0.0037012352,0.0,0.0,0.0,-32.388092,-17.688797,-6.5455933,-9.922205,-5.0869513,-0.2539831,-3.6010344,-2.6588316,0.25788596,0.0008074194,-0.021730706,1.9042053,4.2012634,61702.18,40786.863,1.4359392,2932645.0,4154696.5,6.4083746e-05
1940-01-22,94460.195,73972.25,57236.13,0.00051219686,0.0014765109,0.0032402256,0.0,0.0,0.0,-32.75345,-17.88768,-6.5575867,-7.8237967,-1.9995584,2.0309274,-3.185296,-1.3963803,0.46209416,0.4863153,0.39696485,1.7088928,4.2188416,61716.117,40786.863,0.757148,4070700.0,4242184.0,0.00020416302
1940-01-23,94562.664,74067.445,57309.56,0.00041847362,0.0013814907,0.002413396,0.0,0.0,0.0,-32.540848,-17.764297,-5.9663086,-1.4499096,0.34750322,1.6381484,-5.691646,-3.5136516,0.46560407,0.2640794,0.17158678,0.2892151,4.202423,61752.33,40786.863,0.32798243,3887792.0,3994060.2,1.430817e-07
1940-01-24,94631.87,74144.62,57390.434,0.0004382604,0.0013376999,0.002397822,0.0,0.0,0.0,-32.74478,-17.791763,-6.2602844,-2.5072145,0.9214465,2.1848388,-2.9704754,-4.308445,0.72317916,0.60202897,0.06982583,0.44839478,4.475189,61820.836,40786.863,0.5689416,3847968.5,3853460.5,5.0626695e-05
1940-01-25,94632.19,74159.484,57383.047,0.000494112,0.0009591061,0.0013371967,0.0,0.0,0.0,-32.839935,-17.471405,-5.809204,0.16551505,2.7786846,3.7467697,-3.6858833,-4.4750676,0.7673312,0.7366894,0.4135117,-0.9927063,3.8580627,61805.117,40786.863,0.051018614,4229227.5,3691068.5,4.1730527e-07
1940-01-26,94560.31,74134.96,57391.484,0.00045802374,0.0010647033,0.0011905358,0.0,0.0,0.0,-32.98558,-18.176605,-6.1493225,-1.0149459,2.4021866,3.438425,-3.5803673,-3.2179968,3.0080554,0.9385645,0.6425172,-2.3191223,4.538971,61803.27,40786.863,0.1233272,4463923.0,3507852.8,1.3112003e-07
1940-01-27,94592.44,74132.71,57361.24,0.00034886145,0.00047144768,0.0012163894,0.0,0.0,0.0,-33.161453,-17.427475,-5.885895,4.8538346,3.9939477,2.6934774,2.3290632,2.8680513,4.3054767,1.1331308,0.84348613,-1.7888489,4.568878,61795.45,40786.863,0.06456571,4070434.8,3610610.5,3.5757694e-08
1940-01-28,94666.24,74145.73,57330.64,0.00024353883,0.00030773444,0.0012914841,0.0,0.0,0.0,-33.311417,-16.248596,-5.859955,9.245177,1.7168236,-1.0973967,8.4240465,8.695156,3.7434428,0.650674,0.6233913,-1.747345,4.1355286,61757.973,40786.863,0.011159107,3542689.0,3756884.5,0.0
